"cleaning","trophallaxis","broodcare","guarding","queenattending","prop"
0.027027027027027,0.285714285714286,0,0.5625,0,0.0541728774405332
0.0540540540540541,0.428571428571429,0.0909090909090909,0,0.157894736842105,0
0.0540540540540541,0.428571428571429,0.166666666666667,0,0.0789473684210526,0
0,0.214285714285714,0,0,0,0.580755433327675
0.324324324324324,0.642857142857143,0.0303030303030303,0,0.0526315789473684,0
0.027027027027027,0.142857142857143,0.454545454545455,0,0.0789473684210526,0
0,0.5,0.0757575757575758,0,1,0
0,0.285714285714286,0.818181818181818,0,0.0789473684210526,0
0,0.357142857142857,0.0151515151515152,0,0.0789473684210526,0
0.027027027027027,0.571428571428571,0,0.09375,0,0.93312136292757
0,0.428571428571429,0,0.09375,0,0.279525577543149
0.108108108108108,0.285714285714286,0,0.0625,0,0
0,0.785714285714286,0.333333333333333,0,0,0
0.162162162162162,0.0714285714285714,0,0.4375,0,0
0,0.214285714285714,0.439393939393939,0,0.315789473684211,0
0,0.214285714285714,0.257575757575758,0,0.236842105263158,0
0,0.214285714285714,0.0303030303030303,0,0.210526315789474,0
0,0.214285714285714,0,0.53125,0,0.000423170489895736
0.108108108108108,0.714285714285714,0,0,0,0.975326253903308
0,0.285714285714286,0,0.25,0,0.0200676258246668
0.135135135135135,0,0,0,0,0.469789246886719
0.0540540540540541,0.428571428571429,0.106060606060606,0,0.0263157894736842,0
0.027027027027027,0.642857142857143,0,0,0,0.97293563587403
0,0.142857142857143,0,0,0,0.237711730939878
0.027027027027027,0.0714285714285714,0,0,0,0.179879315892871
0.0810810810810811,0.357142857142857,0,0.03125,0,0
0.0810810810810811,0.285714285714286,0,0,0,0
0.810810810810811,0.0714285714285714,0,0,0,0
0,0.285714285714286,0.560606060606061,0,0,0
0.108108108108108,0.285714285714286,0.333333333333333,0,0.0263157894736842,0
0.027027027027027,0.5,0,0.03125,0.0263157894736842,0.109046819624311
0.027027027027027,0.357142857142857,0.151515151515152,0,0.0789473684210526,0
0,0.571428571428571,0,0,0.0263157894736842,0
0.027027027027027,0.357142857142857,0.0909090909090909,0,0,0
0.0540540540540541,0.357142857142857,0.0151515151515152,0.03125,0,0.56109343666277
0.027027027027027,0.214285714285714,0.333333333333333,0,0.184210526315789,0
0,0.928571428571429,0.212121212121212,0,0.605263157894737,0
0.108108108108108,0.285714285714286,0.0606060606060606,0,0.421052631578947,0
0.0540540540540541,0.142857142857143,0,0,0.394736842105263,0
0.162162162162162,0.142857142857143,0.121212121212121,0,0.131578947368421,0
0.108108108108108,0.214285714285714,0,0.09375,0,0.8259840261412
0.027027027027027,0.428571428571429,0.727272727272727,0,0.0526315789473684,0
0.594594594594595,0.285714285714286,0,0.21875,0,0.0464361538174663
0.108108108108108,0.642857142857143,0.0909090909090909,0,0.131578947368421,0
0.189189189189189,0.285714285714286,0,0.5625,0,0.0390847235850118
0,0.285714285714286,0.621212121212121,0,0.210526315789474,0
0,0.214285714285714,0.757575757575758,0,0.368421052631579,0
0.027027027027027,0.285714285714286,0.151515151515152,0,0.315789473684211,0
0.135135135135135,0.285714285714286,0,0.125,0,0.671604875375342
0.027027027027027,0.0714285714285714,0,0,0,0.445689524505489
0.027027027027027,0.428571428571429,0.0757575757575758,0,0.342105263157895,0
0.027027027027027,0.142857142857143,0,0.21875,0.0263157894736842,0.387167629204283
0,0.142857142857143,0,0,0,0.0732570909160573
0.108108108108108,0,0,0.09375,0.105263157894737,0
0,0.214285714285714,0.393939393939394,0,0,0
0.324324324324324,0.357142857142857,0.0454545454545455,0.03125,0,0.193358686899287
0.189189189189189,0.214285714285714,0.0151515151515152,0,0.0263157894736842,0
0.0540540540540541,0,0,0.03125,0,0.992658294371828
0.0810810810810811,0.428571428571429,0,0.15625,0,0
0.108108108108108,0.357142857142857,0,0,0,0.395907341305876
0.162162162162162,0.214285714285714,0,0.03125,0,0.853516090370133
0,0.142857142857143,0,0.0625,0,0.255745599513172
0.108108108108108,0.428571428571429,0,1,0,0
0.27027027027027,0.142857142857143,0,0.03125,0,0.669523883509884
0.027027027027027,0.214285714285714,0,0.09375,0,0.00286640680428415
